25,25,598,668,29
25,25,592,824,32
25,25,597,830,-69
25,25,556,811,32
25,25,525,821,531
-30,30,709,689,35
-30,30,813,568,593
-30,30,767,571,624
-30,30,669,591,608
-30,30,615,602,612
-30,30,626,618,606
-30,30,657,626,655
-30,30,684,616,551
-30,30,693,594,513
-30,30,651,560,512
-30,30,644,582,525
-30,30,634,607,531
-30,30,625,610,571
25,25,642,647,623
25,25,671,688,668
30,-30,727,715,729
30,-30,720,711,725
-30,30,714,690,710
-30,30,697,674,681
-30,30,682,667,633
-30,30,699,678,664
-30,30,701,672,677
-30,30,719,690,689
-30,30,722,705,651
-30,30,696,685,634
-30,30,647,625,593
-30,30,632,579,573
-30,30,624,580,572
30,-30,588,605,622
30,-30,596,598,605
-30,30,607,597,35
25,25,523,529,29
-30,30,458,448,26
-30,30,417,409,26
-30,30,588,530,36
-30,30,677,650,40
-30,30,664,631,37
-30,30,662,610,34
-30,30,652,610,36
-30,30,671,631,40
-30,30,682,662,626
-30,30,703,694,623
25,25,700,706,671
30,-30,688,712,742
30,-30,693,741,802
30,-30,742,781,829
30,-30,774,803,831
30,-30,779,794,812
30,-30,787,790,792
25,25,780,784,54
-30,30,760,752,48
25,25,734,740,47
25,25,704,706,48
-30,30,668,665,46
25,25,659,698,49
25,25,681,726,50
25,25,685,724,50
25,25,688,741,49
25,25,705,746,51
25,25,707,746,52
25,25,726,747,52
-30,30,763,755,53
-30,30,709,705,51
25,25,682,692,47
-30,30,693,681,47
-30,30,702,626,41
-30,30,716,635,41
-30,30,718,657,38
-30,30,706,663,38
-30,30,675,609,34
-30,30,684,599,37
-30,30,715,654,40
-30,30,680,660,40
-30,30,601,587,41
-30,30,540,503,31
-30,30,706,668,42
-30,30,855,844,55
-30,30,837,817,59
-30,30,830,817,57
-30,30,782,756,53
-30,30,596,582,31
25,25,449,601,25
25,25,466,766,39
25,25,697,816,51
-30,30,870,864,51
25,25,852,870,43
-30,30,844,824,37
-30,30,869,725,36
-30,30,874,642,552
-30,30,865,642,567
-30,30,875,673,595
-30,30,896,683,29
-30,30,908,713,46
-30,30,914,740,48
-30,30,909,735,726
-30,30,900,690,657
-30,30,879,637,640
-30,30,848,623,618
-30,30,726,726,598
25,25,623,827,582
25,25,632,857,617
25,25,648,852,626
25,25,660,855,633
25,25,653,861,607
25,25,638,834,541
25,25,657,822,543
25,25,664,835,529
25,25,630,828,497
25,25,590,819,503
25,25,612,831,546
25,25,654,839,557
25,25,650,846,560
25,25,666,858,566
25,25,680,862,596
25,25,680,863,633
25,25,642,868,648
25,25,671,873,659
25,25,696,877,699
25,25,717,862,821
30,-30,740,771,894
30,-30,678,685,903
25,25,595,771,47
25,25,572,850,39
25,25,565,838,38
25,25,587,853,41
25,25,630,868,42
25,25,646,877,42
25,25,669,889,663
25,25,741,899,728
-30,30,837,823,757
-30,30,900,735,750
-30,30,907,701,691
-30,30,896,633,613
-30,30,897,599,540
-30,30,909,613,552
-30,30,914,650,542
-30,30,918,623,522
-30,30,845,613,528
-30,30,744,638,533
-30,30,726,640,601
-30,30,686,611,552
-30,30,623,606,564
-30,30,648,627,577
-30,30,703,631,628
-30,30,745,672,679
-30,30,750,730,732
-30,30,788,759,767
-30,30,869,771,792
-30,30,892,698,737
-30,30,873,608,688
-30,30,890,620,681
-30,30,894,632,654
-30,30,886,602,561
-30,30,882,568,486
-30,30,874,576,485
-30,30,866,615,473
-30,30,810,699,439
25,25,649,798,493
25,25,595,837,545
25,25,609,839,561
25,25,646,856,590
25,25,662,869,606
25,25,663,862,601
25,25,658,863,638
25,25,630,873,657
25,25,627,872,659
25,25,649,877,679
25,25,644,880,667
25,25,634,872,665
25,25,638,871,675
25,25,657,869,633
25,25,647,863,595
25,25,656,868,613
25,25,609,877,622
25,25,639,880,629
25,25,712,888,607
25,25,769,904,678
25,25,764,899,706
25,25,748,887,703
25,25,750,829,809
30,-30,753,687,860
30,-30,716,614,846
25,25,667,745,617
25,25,596,830,455
25,25,576,807,441
25,25,616,823,482
25,25,625,828,516
25,25,607,824,537
25,25,604,838,560
25,25,584,840,551
